0.5109995255,0.3695122112
0.3934740721,0.3756557641
0.2977712505,0.3701695357
0.2194306319,0.3553675492
0.1498001172,0.3184415001
0.0981652248,0.2642677204
0.0463745903,0.2101634786
8.5E-18,0.138869991
-0.0464928473,0.0465591166
0.3732388609,0.4569333206
0.2709949254,0.4430024968
0.1808203989,0.4181743651
0.1095633403,0.3815607727
0.051387033,0.3322412979
1.66E-17,0.271909424
-0.0463745903,0.2101634786
-0.0961817847,0.1136712742
0.219272427,0.5142217736
0.1338699262,0.4830793787
0.0617209441,0.4428436831
2.4E-17,0.3919848199
-0.051387033,0.3322412979
-0.0981652248,0.2642677204
-0.1431765653,0.1784050946
0.0683595929,0.5441246941
3.06E-17,0.5000000033
-0.0617209441,0.4428436831
-0.1095633403,0.3815607727
-0.1498001172,0.3184415001
-0.1907789507,0.2342278985
3.62E-17,0.591227234
-0.0683595929,0.5441246941
-0.1338699262,0.4830793787
-0.1808203989,0.4181743651
-0.2194306319,0.3553675492
-0.2361095539,0.2868271398
-0.219272427,0.5142217736
-0.2709949254,0.4430024968
-0.2977712505,0.3701695357
-0.3142238296,0.2911202401
-0.2909920305,0.2166978271
-0.2485870011,0.1549443683
-0.2036677958,0.0955261751
-0.147622502,0.0293977729
-0.0732530863,-0.0410622625
-0.3732388609,0.4569333206
-0.3934740721,0.3756557641
-0.4032724211,0.2885381751
-0.3843181979,0.2000965234
-0.3389952246,0.1279606416
-0.2854267937,0.0618672527
-0.2275992095,0.0042528473
-0.146400017,-0.0651859812
-0.5109995255,0.3695122112
-0.5007579427,0.2727793914
-0.4750425104,0.1722868804
-0.4271948576,0.0891383971
-0.362080518,0.0282781699
-0.2972840352,-0.0312180658
-0.2171784659,-0.0922551368
-0.608797344,0.2207366518
-0.5691224953,0.1119136248
-0.5122735429,0.0304191801
-0.4391570444,-0.0225933376
-0.36440691,-0.0633906056
-0.2916981883,-0.1183505685
-0.691994761,0.1189305013
-0.6449370212,0.0530545473
-0.5819146453,-0.0667938358
-0.5042764057,-0.1001619019
-0.4242734768,-0.1190429532
-0.3548760029,-0.1427442806
-0.7512510405,0.0441227581
-0.5380931876,-0.2012550409
-0.4488144284,-0.215786966
-0.3731319795,-0.2134191867
-0.2975763712,-0.2033016786
-0.2297012255,-0.1794929303
-0.1573697778,-0.1577633493
-0.0851209281,-0.1295561925
5.44E-18,-0.0888194638
-0.7793171175,-0.1209607334
-0.5269841958,-0.3230810717
-0.4632935464,-0.3006247461
-0.3788389853,-0.2913639197
-0.3007707469,-0.2775763658
-0.2280004533,-0.2551568811
-0.1570413822,-0.226369993
-0.0852240915,-0.200449867
9.54E-18,-0.1558806995
