6.545144	5.414075	-1.305815	E1
6.073773	6.413553	1.245598	E2
5.362831	7.201868	3.395105	E3
4.435476	7.552979	5.067823	E4
3.3004	7.18649	6.721373	E5
2.15636	6.29586	8.050748	E6
1.078114	5.172539	9.121235	E7
0	3.573681	9.879862	E8
-1.095532	1.496569	10.378836	E9
5.447754	7.448192	-0.031451	E10
4.652278	8.307565	2.097584	E11
3.582945	8.719776	4.097549	E12
2.353357	8.4747	5.725979	E13
1.18146	7.728098	7.274585	E14
0	6.535923	8.464706	E15
-1.078114	5.172539	9.121235	E16
-2.178411	2.964394	9.65529	E17
3.699497	9.171215	0.856482	E18
2.555722	9.596412	2.675954	E19
1.319201	9.450428	4.430584	E20
0	8.800477	6.046109	E21
-1.18146	7.728098	7.274585	E22
-2.15636	6.29586	8.050748	E23
-3.197539	4.36623	8.679783	E24
1.172965	10.116201	0.982968	E25
0	9.990891	2.530076	E26
-1.319201	9.450428	4.430584	E27
-2.353357	8.4747	5.725979	E28
-3.3004	7.18649	6.721373	E29
-4.158195	5.487641	7.401126	E30
0	10.055779	-0.903446	E31
-1.172965	10.116201	0.982968	E32
-2.555722	9.596412	2.675954	E33
-3.582945	8.719776	4.097549	E34
-4.435476	7.552979	5.067823	E35
-4.824852	6.361561	6.012633	E36
-3.699497	9.171215	0.856482	E37
-4.652278	8.307565	2.097584	E38
-5.362831	7.201868	3.395105	E39
-5.888509	5.99543	4.593841	E40
-5.723281	4.85366	6.125099	E41
-5.194523	3.737702	7.549695	E42
-4.47541	2.517479	8.724807	E43
-3.383322	1.07826	9.759933	E44
-1.81209	-0.536504	10.613414	E45
-5.447754	7.448192	-0.031451	E46
-6.073773	6.413553	1.245598	E47
-6.622065	5.257827	2.63314	E48
-6.826123	4.144226	4.327201	E49
-6.595316	3.082912	6.013165	E50
-6.023827	1.898121	7.54296	E51
-5.166333	0.593101	8.822243	E52
-3.636289	-1.08363	10.007821	E53
-6.545144	5.414075	-1.305815	E54
-7.002089	4.405725	0.584039	E55
-7.450898	3.324002	2.426782	E56
-7.566235	2.259844	4.223706	E57
-7.234886	1.252602	6.001292	E58
-6.603842	0.070712	7.509598	E59
-5.320719	-1.544197	8.976128	E60
-7.357161	3.266926	-1.564066	E61
-7.722785	2.18	0.498207	E62
-8.064797	1.268074	2.345575	E63
-8.019453	0.388878	4.197075	E64
-7.587821	-0.521259	5.990597	E65
-6.837802	-1.838017	7.38845	E66
